date,year,month,day,week,year_week
2020-10-17,2020,10,17,42,202042
2020-10-18,2020,10,18,42,202042
2020-10-19,2020,10,19,43,202043
2020-10-20,2020,10,20,43,202043
2020-10-21,2020,10,21,43,202043
2020-10-22,2020,10,22,43,202043
2020-10-23,2020,10,23,43,202043
2020-10-24,2020,10,24,43,202043
2020-10-25,2020,10,25,43,202043
2020-10-26,2020,10,26,44,202044
2020-10-27,2020,10,27,44,202044
2020-10-28,2020,10,28,44,202044
2020-10-29,2020,10,29,44,202044
2020-10-30,2020,10,30,44,202044
2020-10-31,2020,10,31,44,202044
2020-11-01,2020,11,1,44,202044
2020-11-02,2020,11,2,45,202045
2020-11-03,2020,11,3,45,202045
2020-11-04,2020,11,4,45,202045
2020-11-05,2020,11,5,45,202045
2020-11-06,2020,11,6,45,202045
2020-11-07,2020,11,7,45,202045
2020-11-08,2020,11,8,45,202045
2020-11-09,2020,11,9,46,202046
2020-11-10,2020,11,10,46,202046
2020-11-11,2020,11,11,46,202046
2020-11-12,2020,11,12,46,202046
2020-11-13,2020,11,13,46,202046
2020-11-14,2020,11,14,46,202046
2020-11-15,2020,11,15,46,202046
2020-11-16,2020,11,16,47,202047
2020-11-17,2020,11,17,47,202047
2020-11-18,2020,11,18,47,202047
2020-11-19,2020,11,19,47,202047
2020-11-20,2020,11,20,47,202047
2020-11-21,2020,11,21,47,202047
2020-11-22,2020,11,22,47,202047
2020-11-23,2020,11,23,48,202048
2020-11-24,2020,11,24,48,202048
2020-11-25,2020,11,25,48,202048
2020-11-26,2020,11,26,48,202048
2020-11-27,2020,11,27,48,202048
2020-11-28,2020,11,28,48,202048
2020-11-29,2020,11,29,48,202048
2020-11-30,2020,11,30,49,202049
2020-12-01,2020,12,1,49,202049
2020-12-02,2020,12,2,49,202049
2020-12-03,2020,12,3,49,202049
2020-12-04,2020,12,4,49,202049
2020-12-05,2020,12,5,49,202049
2020-12-06,2020,12,6,49,202049
2020-12-07,2020,12,7,50,202050
2020-12-08,2020,12,8,50,202050
2020-12-09,2020,12,9,50,202050
2020-12-10,2020,12,10,50,202050
2020-12-11,2020,12,11,50,202050
2020-12-12,2020,12,12,50,202050
2020-12-13,2020,12,13,50,202050
2020-12-14,2020,12,14,51,202051
2020-12-15,2020,12,15,51,202051
2020-12-16,2020,12,16,51,202051
2020-12-17,2020,12,17,51,202051
2020-12-18,2020,12,18,51,202051
2020-12-19,2020,12,19,51,202051
2020-12-20,2020,12,20,51,202051
2020-12-21,2020,12,21,52,202052
2020-12-22,2020,12,22,52,202052
2020-12-23,2020,12,23,52,202052
2020-12-24,2020,12,24,52,202052
2020-12-25,2020,12,25,52,202052
2020-12-26,2020,12,26,52,202052
2020-12-27,2020,12,27,52,202052
2020-12-28,2020,12,28,53,202053
2020-12-29,2020,12,29,53,202053
2020-12-30,2020,12,30,53,202053
2020-12-31,2020,12,31,53,202053
2021-01-01,2021,1,1,53,202153
2021-01-02,2021,1,2,53,202153
2021-01-03,2021,1,3,53,202153
2021-01-04,2021,1,4,1,202101
2021-01-05,2021,1,5,1,202101
2021-01-06,2021,1,6,1,202101
2021-01-07,2021,1,7,1,202101
2021-01-08,2021,1,8,1,202101
2021-01-09,2021,1,9,1,202101
2021-01-10,2021,1,10,1,202101
2021-01-11,2021,1,11,2,202102
2021-01-12,2021,1,12,2,202102
2021-01-13,2021,1,13,2,202102
2021-01-14,2021,1,14,2,202102
2021-01-15,2021,1,15,2,202102
2021-01-16,2021,1,16,2,202102
2021-01-17,2021,1,17,2,202102
2021-01-18,2021,1,18,3,202103
2021-01-19,2021,1,19,3,202103
2021-01-20,2021,1,20,3,202103
2021-01-21,2021,1,21,3,202103
2021-01-22,2021,1,22,3,202103
2021-01-23,2021,1,23,3,202103
2021-01-24,2021,1,24,3,202103
2021-01-25,2021,1,25,4,202104
2021-01-26,2021,1,26,4,202104
2021-01-27,2021,1,27,4,202104
2021-01-28,2021,1,28,4,202104
2021-01-29,2021,1,29,4,202104
2021-01-30,2021,1,30,4,202104
2021-01-31,2021,1,31,4,202104
2021-02-01,2021,2,1,5,202105
2021-02-02,2021,2,2,5,202105
2021-02-03,2021,2,3,5,202105
2021-02-04,2021,2,4,5,202105
2021-02-05,2021,2,5,5,202105
2021-02-06,2021,2,6,5,202105
2021-02-07,2021,2,7,5,202105
2021-02-08,2021,2,8,6,202106
2021-02-09,2021,2,9,6,202106
2021-02-10,2021,2,10,6,202106
2021-02-11,2021,2,11,6,202106
2021-02-12,2021,2,12,6,202106
2021-02-13,2021,2,13,6,202106
2021-02-14,2021,2,14,6,202106
2021-02-15,2021,2,15,7,202107
2021-02-16,2021,2,16,7,202107
2021-02-17,2021,2,17,7,202107
2021-02-18,2021,2,18,7,202107
2021-02-19,2021,2,19,7,202107
2021-02-20,2021,2,20,7,202107
2021-02-21,2021,2,21,7,202107
2021-02-22,2021,2,22,8,202108
2021-02-23,2021,2,23,8,202108
2021-02-24,2021,2,24,8,202108
2021-02-25,2021,2,25,8,202108
2021-02-26,2021,2,26,8,202108
2021-02-27,2021,2,27,8,202108
2021-02-28,2021,2,28,8,202108
2021-03-01,2021,3,1,9,202109
2021-03-02,2021,3,2,9,202109
2021-03-03,2021,3,3,9,202109
2021-03-04,2021,3,4,9,202109
2021-03-05,2021,3,5,9,202109
2021-03-06,2021,3,6,9,202109
2021-03-07,2021,3,7,9,202109
2021-03-08,2021,3,8,10,202110
2021-03-09,2021,3,9,10,202110
2021-03-10,2021,3,10,10,202110
2021-03-11,2021,3,11,10,202110
2021-03-12,2021,3,12,10,202110
2021-03-13,2021,3,13,10,202110
2021-03-14,2021,3,14,10,202110
2021-03-15,2021,3,15,11,202111
2021-03-16,2021,3,16,11,202111
2021-03-17,2021,3,17,11,202111
2021-03-18,2021,3,18,11,202111
2021-03-19,2021,3,19,11,202111
2021-03-20,2021,3,20,11,202111
2021-03-21,2021,3,21,11,202111
2021-03-22,2021,3,22,12,202112
2021-03-23,2021,3,23,12,202112
2021-03-24,2021,3,24,12,202112
2021-03-25,2021,3,25,12,202112
