year_month,quantidade_autos,cumulative_tickets
202208,8,319425
202208,4,319429
202208,29,319458
202208,1,319459
202208,376,319835
202208,10,319845
202208,8,319853
202208,1,319854
202208,18,319872
202208,4,319876
202208,1,319877
202208,1,319878
202208,2,319880
202208,1870,321750
202209,2,321752
202209,190,321942
202209,308,322250
202209,100,322350
202209,152,322502
202209,241,322743
202209,140,322883
202209,247,323130
202209,6,323136
202209,1868,325004
202209,1600,326604
202209,157,326761
202209,51,326812
202209,627,327439
202209,305,327744
202209,1,327745
202209,602,328347
202209,1,328348
202209,18,328366
202209,1,328367
202209,3,328370
202209,6,328376
202209,1017,329393
202209,475,329868
202209,992,330860
202209,61,330921
202209,371,331292
202209,488,331780
202209,354,332134
202209,4443,336577
202209,1,336578
202209,2,336580
202210,2,336582
202210,79,336661
202210,277,336938
202210,639,337577
202210,21,337598
202210,931,338529
202210,1617,340146
202210,1018,341164
202210,1,341165
202210,346,341511
202210,3,341514
202210,6,341520
202210,103,341623
202210,371,341994
202210,865,342859
202210,2483,345342
202210,219,345561
202210,4,345565
202210,3,345568
202210,15,345583
202210,4,345587
202210,5,345592
202210,2,345594
202210,3,345597
202210,318,345915
202210,364,346279
202210,101,346380
202210,20,346400
202210,21,346421
202210,242,346663
202210,166,346829
202210,67,346896
202210,376,347272
202210,6,347278
202210,291,347569
202210,628,348197
202210,778,348975
202210,288,349263
202210,621,349884
202210,292,350176
202211,2402,352578
202211,2064,354642
202211,1184,355826
202211,5,355831
202211,1,355832
202211,107,355939
202211,11,355950
202211,1,355951
202211,113,356064
202211,590,356654
202211,421,357075
202211,72,357147
202211,22,357169
202211,565,357734
202211,1295,359029
202211,99,359128
202211,6,359134
202211,3,359137
202211,690,359827
202211,1,359828
202211,952,360780
202211,210,360990
202211,190,361180
202211,374,361554
202211,401,361955
202211,207,362162
202211,1,362163
202211,2,362165
202211,158,362323
202211,4,362327
202211,204,362531
202211,88,362619
202211,7,362626
202211,855,363481
202211,347,363828
202211,525,364353
202211,111,364464
202211,299,364763
202211,8,364771
202211,101,364872
202211,282,365154
202211,380,365534
202211,630,366164
202211,124,366288
202211,1,366289
202212,6,366295
202212,7,366302
202212,3,366305
202212,429,366734
202212,442,367176
202212,59,367235
202212,175,367410
202212,54,367464
202212,360,367824
202212,1044,368868
202212,86,368954
202212,34,368988
202212,9,368997
202212,361,369358
202212,481,369839
202212,731,370570
202212,162,370732
202212,1,370733
202212,1,370734
202212,4,370738
202212,2,370740
202212,174,370914
202212,4,370918
202212,246,371164
202212,528,371692
202212,227,371919
202212,90,372009
202212,344,372353
202212,315,372668
202212,84,372752
202212,3,372755
202212,3,372758
202212,238,372996
202212,1789,374785
202212,153,374938
202212,86,375024
202212,3,375027
202212,224,375251
202212,471,375722
202212,453,376175
202212,5,376180
202212,5,376185
202212,2,376187
202212,61,376248
202212,249,376497
202212,18,376515
