year_month,quantidade_autos,cumulative_tickets,previous_tickets,diff_by_period
202205,8,266732,266724,8
202205,790,267522,266732,790
202205,4343,271865,267522,4343
202205,5,271870,271865,5
202205,770,272640,271870,770
202205,204,272844,272640,204
202205,13,272857,272844,13
202205,586,273443,272857,586
202205,135,273578,273443,135
202205,171,273749,273578,171
202205,96,273845,273749,96
202205,190,274035,273845,190
202205,2168,276203,274035,2168
202205,237,276440,276203,237
202205,296,276736,276440,296
202206,4,276740,276736,4
202206,1,276741,276740,1
202206,3,276744,276741,3
202206,2,276746,276744,2
202206,1,276747,276746,1
202206,201,276948,276747,201
202206,1139,278087,276948,1139
202206,5,278092,278087,5
202206,472,278564,278092,472
202206,97,278661,278564,97
202206,332,278993,278661,332
202206,144,279137,278993,144
202206,125,279262,279137,125
202206,803,280065,279262,803
202206,382,280447,280065,382
202206,259,280706,280447,259
202206,1164,281870,280706,1164
202206,1,281871,281870,1
202206,193,282064,281871,193
202206,97,282161,282064,97
202206,52,282213,282161,52
202206,2191,284404,282213,2191
202206,2,284406,284404,2
202206,1,284407,284406,1
202206,4,284411,284407,4
202206,4,284415,284411,4
202206,3,284418,284415,3
202206,167,284585,284418,167
202206,2,284587,284585,2
202206,2,284589,284587,2
202206,232,284821,284589,232
202206,262,285083,284821,262
202206,579,285662,285083,579
202206,163,285825,285662,163
202206,792,286617,285825,792
202206,463,287080,286617,463
202206,174,287254,287080,174
202206,260,287514,287254,260
202206,1544,289058,287514,1544
202206,210,289268,289058,210
202206,752,290020,289268,752
202206,618,290638,290020,618
202206,544,291182,290638,544
202206,5,291187,291182,5
202206,1,291188,291187,1
202207,33,291221,291188,33
202207,320,291541,291221,320
202207,959,292500,291541,959
202207,210,292710,292500,210
202207,2,292712,292710,2
202207,8,292720,292712,8
202207,3565,296285,292720,3565
202207,10,296295,296285,10
202207,131,296426,296295,131
202207,125,296551,296426,125
202207,178,296729,296551,178
202207,106,296835,296729,106
202207,1,296836,296835,1
202207,1,296837,296836,1
202207,60,296897,296837,60
202207,121,297018,296897,121
202207,316,297334,297018,316
202207,1142,298476,297334,1142
202207,229,298705,298476,229
202207,83,298788,298705,83
202207,58,298846,298788,58
202207,142,298988,298846,142
202207,670,299658,298988,670
202207,2,299660,299658,2
202207,2,299662,299660,2
202207,5,299667,299662,5
202207,1,299668,299667,1
202207,2,299670,299668,2
202207,268,299938,299670,268
202207,539,300477,299938,539
202207,864,301341,300477,864
202207,547,301888,301341,547
202207,68,301956,301888,68
202207,292,302248,301956,292
202207,323,302571,302248,323
202207,1278,303849,302571,1278
202207,80,303929,303849,80
202207,1,303930,303929,1
202207,2309,306239,303930,2309
202207,97,306336,306239,97
202208,49,306385,306336,49
202208,247,306632,306385,247
202208,134,306766,306632,134
202208,18,306784,306766,18
202208,1,306785,306784,1
202208,5691,312476,306785,5691
202208,2,312478,312476,2
202208,1,312479,312478,1
202208,2,312481,312479,2
202208,23,312504,312481,23
202208,1,312505,312504,1
202208,130,312635,312505,130
202208,146,312781,312635,146
202208,1,312782,312781,1
202208,2,312784,312782,2
202208,29,312813,312784,29
202208,2,312815,312813,2
202208,3,312818,312815,3
202208,5,312823,312818,5
202208,11,312834,312823,11
202208,10,312844,312834,10
202208,110,312954,312844,110
202208,83,313037,312954,83
202208,205,313242,313037,205
202208,813,314055,313242,813
202208,52,314107,314055,52
202208,1099,315206,314107,1099
202208,6,315212,315206,6
202208,58,315270,315212,58
202208,84,315354,315270,84
202208,1,315355,315354,1
202208,790,316145,315355,790
202208,57,316202,316145,57
202208,26,316228,316202,26
202208,2,316230,316228,2
202208,1309,317539,316230,1309
202208,78,317617,317539,78
202208,116,317733,317617,116
202208,55,317788,317733,55
202208,14,317802,317788,14
202208,2,317804,317802,2
202208,97,317901,317804,97
202208,29,317930,317901,29
202208,109,318039,317930,109
202208,7,318046,318039,7
202208,1,318047,318046,1
202208,169,318216,318047,169
202208,133,318349,318216,133
202208,1,318350,318349,1
202208,1,318351,318350,1
202208,23,318374,318351,23
202208,8,318382,318374,8
202208,11,318393,318382,11
202208,52,318445,318393,52
202208,515,318960,318445,515
202208,1,318961,318960,1
202208,3,318964,318961,3
202208,92,319056,318964,92
202208,354,319410,319056,354
202208,7,319417,319410,7
202208,8,319425,319417,8
202208,4,319429,319425,4
202208,29,319458,319429,29
202208,1,319459,319458,1
202208,376,319835,319459,376
202208,10,319845,319835,10
202208,8,319853,319845,8
202208,1,319854,319853,1
202208,18,319872,319854,18
202208,4,319876,319872,4
202208,1,319877,319876,1
202208,1,319878,319877,1
202208,2,319880,319878,2
202208,1870,321750,319880,1870
202209,2,321752,321750,2
202209,190,321942,321752,190
202209,308,322250,321942,308
202209,100,322350,322250,100
202209,152,322502,322350,152
202209,241,322743,322502,241
202209,140,322883,322743,140
202209,247,323130,322883,247
202209,6,323136,323130,6
202209,1868,325004,323136,1868
202209,1600,326604,325004,1600
202209,157,326761,326604,157
202209,51,326812,326761,51
202209,627,327439,326812,627
202209,305,327744,327439,305
202209,1,327745,327744,1
202209,602,328347,327745,602
202209,1,328348,328347,1
202209,18,328366,328348,18
202209,1,328367,328366,1
202209,3,328370,328367,3
202209,6,328376,328370,6
202209,1017,329393,328376,1017
202209,475,329868,329393,475
202209,992,330860,329868,992
202209,61,330921,330860,61
202209,371,331292,330921,371
202209,488,331780,331292,488
202209,354,332134,331780,354
202209,4443,336577,332134,4443
202209,1,336578,336577,1
202209,2,336580,336578,2
202210,2,336582,336580,2
202210,79,336661,336582,79
202210,277,336938,336661,277
202210,639,337577,336938,639
202210,21,337598,337577,21
202210,931,338529,337598,931
202210,1617,340146,338529,1617
202210,1018,341164,340146,1018
202210,1,341165,341164,1
202210,346,341511,341165,346
202210,3,341514,341511,3
202210,6,341520,341514,6
202210,103,341623,341520,103
202210,371,341994,341623,371
202210,865,342859,341994,865
202210,2483,345342,342859,2483
202210,219,345561,345342,219
202210,4,345565,345561,4
202210,3,345568,345565,3
202210,15,345583,345568,15
202210,4,345587,345583,4
202210,5,345592,345587,5
202210,2,345594,345592,2
202210,3,345597,345594,3
202210,318,345915,345597,318
202210,364,346279,345915,364
202210,101,346380,346279,101
202210,20,346400,346380,20
202210,21,346421,346400,21
202210,242,346663,346421,242
202210,166,346829,346663,166
202210,67,346896,346829,67
202210,376,347272,346896,376
202210,6,347278,347272,6
202210,291,347569,347278,291
202210,628,348197,347569,628
202210,778,348975,348197,778
202210,288,349263,348975,288
202210,621,349884,349263,621
202210,292,350176,349884,292
202211,2402,352578,350176,2402
202211,2064,354642,352578,2064
202211,1184,355826,354642,1184
202211,5,355831,355826,5
202211,1,355832,355831,1
202211,107,355939,355832,107
202211,11,355950,355939,11
202211,1,355951,355950,1
202211,113,356064,355951,113
202211,590,356654,356064,590
202211,421,357075,356654,421
202211,72,357147,357075,72
202211,22,357169,357147,22
202211,565,357734,357169,565
202211,1295,359029,357734,1295
202211,99,359128,359029,99
202211,6,359134,359128,6
202211,3,359137,359134,3
202211,690,359827,359137,690
202211,1,359828,359827,1
202211,952,360780,359828,952
202211,210,360990,360780,210
202211,190,361180,360990,190
202211,374,361554,361180,374
202211,401,361955,361554,401
202211,207,362162,361955,207
202211,1,362163,362162,1
202211,2,362165,362163,2
202211,158,362323,362165,158
202211,4,362327,362323,4
202211,204,362531,362327,204
202211,88,362619,362531,88
202211,7,362626,362619,7
202211,855,363481,362626,855
202211,347,363828,363481,347
202211,525,364353,363828,525
202211,111,364464,364353,111
202211,299,364763,364464,299
202211,8,364771,364763,8
202211,101,364872,364771,101
202211,282,365154,364872,282
202211,380,365534,365154,380
202211,630,366164,365534,630
202211,124,366288,366164,124
202211,1,366289,366288,1
202212,6,366295,366289,6
202212,7,366302,366295,7
202212,3,366305,366302,3
202212,429,366734,366305,429
202212,442,367176,366734,442
202212,59,367235,367176,59
202212,175,367410,367235,175
202212,54,367464,367410,54
202212,360,367824,367464,360
202212,1044,368868,367824,1044
202212,86,368954,368868,86
202212,34,368988,368954,34
202212,9,368997,368988,9
202212,361,369358,368997,361
202212,481,369839,369358,481
202212,731,370570,369839,731
202212,162,370732,370570,162
202212,1,370733,370732,1
202212,1,370734,370733,1
202212,4,370738,370734,4
202212,2,370740,370738,2
202212,174,370914,370740,174
202212,4,370918,370914,4
202212,246,371164,370918,246
202212,528,371692,371164,528
202212,227,371919,371692,227
202212,90,372009,371919,90
202212,344,372353,372009,344
202212,315,372668,372353,315
202212,84,372752,372668,84
202212,3,372755,372752,3
202212,3,372758,372755,3
202212,238,372996,372758,238
202212,1789,374785,372996,1789
202212,153,374938,374785,153
202212,86,375024,374938,86
202212,3,375027,375024,3
202212,224,375251,375027,224
202212,471,375722,375251,471
202212,453,376175,375722,453
202212,5,376180,376175,5
202212,5,376185,376180,5
202212,2,376187,376185,2
202212,61,376248,376187,61
202212,249,376497,376248,249
202212,18,376515,376497,18
